,rgi_id,MB_profile,exist_diff_total_winter_summer_above_100,len_mb_profile,len_summer_balance,len_winter_balance,len_annual_balance,len_winter_balance_filtered,len_summer_balance_filtered
RGI60-02.04379,RGI60-02.04379,False,False,0,6,6,7,6,6
RGI60-03.04539,RGI60-03.04539,True,False,35,0,0,37,0,0
RGI60-02.03210,RGI60-02.03210,False,False,0,0,0,0,0,0
RGI60-01.05211,RGI60-01.05211,False,False,0,8,8,8,7,7
RGI60-02.02107,RGI60-02.02107,False,False,0,7,7,7,5,5
RGI60-11.02764,RGI60-11.02764,True,False,14,11,11,14,11,11
RGI60-11.02285,RGI60-11.02285,False,False,0,0,0,0,0,0
RGI60-11.02704,RGI60-11.02704,True,False,41,38,38,41,17,17
RGI60-11.01987,RGI60-11.01987,True,False,24,27,27,28,18,18
RGI60-11.00843,RGI60-11.00843,True,False,41,41,41,41,40,40
RGI60-11.02766,RGI60-11.02766,True,False,5,20,20,23,0,0
RGI60-11.01962,RGI60-11.01962,False,False,0,6,6,6,6,6
RGI60-11.02773,RGI60-11.02773,True,False,15,12,12,15,12,12
RGI60-11.02245,RGI60-11.02245,False,False,0,0,0,0,0,0
RGI60-11.02774,RGI60-11.02774,True,False,41,38,38,41,0,0
RGI60-11.01876,RGI60-11.01876,True,False,37,41,41,41,39,39
RGI60-11.01450,RGI60-11.01450,False,False,0,21,21,21,16,16
RGI60-11.02679,RGI60-11.02679,True,False,41,38,38,41,9,9
RGI60-11.02753,RGI60-11.02753,False,False,0,0,0,0,0,0
RGI60-11.02671,RGI60-11.02671,True,False,17,17,17,17,2,2
RGI60-11.00918,RGI60-11.00918,False,False,0,7,7,7,5,5
RGI60-11.02024,RGI60-11.02024,False,False,0,7,7,7,7,7
RGI60-11.00638,RGI60-11.00638,False,False,0,13,13,13,12,12
RGI60-11.02072,RGI60-11.02072,True,False,10,10,10,10,10,10
RGI60-11.00892,RGI60-11.00892,True,False,7,7,7,11,5,5
RGI60-11.01238,RGI60-11.01238,True,False,10,16,16,17,10,10
RGI60-11.01367,RGI60-11.01367,False,False,0,8,8,8,8,8
RGI60-11.01376,RGI60-11.01376,False,False,0,7,7,7,7,7
RGI60-11.02746,RGI60-11.02746,True,False,41,38,38,41,2,2
RGI60-11.00804,RGI60-11.00804,True,False,38,41,41,41,38,38
RGI60-11.02249,RGI60-11.02249,True,False,10,10,10,10,10,10
RGI60-17.14887,RGI60-17.14887,False,False,0,2,2,12,1,1
RGI60-17.13715,RGI60-17.13715,False,False,0,41,41,41,32,32
RGI60-17.14874,RGI60-17.14874,False,False,0,0,0,6,0,0
RGI60-17.14868,RGI60-17.14868,False,False,0,4,4,12,4,4
RGI60-17.14871,RGI60-17.14871,False,False,0,0,0,6,0,0
RGI60-17.14872,RGI60-17.14872,False,False,0,0,0,6,0,0
RGI60-13.28839,RGI60-13.28839,False,False,0,0,0,5,0,0
RGI60-15.07886,RGI60-15.07886,False,False,0,0,0,5,0,0
RGI60-13.33648,RGI60-13.33648,False,False,0,0,0,12,0,0
RGI60-13.41896,RGI60-13.41896,False,False,0,0,0,11,0,0
RGI60-15.09026,RGI60-15.09026,False,False,0,0,0,5,0,0
RGI60-15.11693,RGI60-15.11693,True,False,13,0,0,13,0,0
RGI60-15.11962,RGI60-15.11962,False,False,0,0,0,5,0,0
RGI60-13.32330,RGI60-13.32330,False,False,0,2,2,12,0,0
RGI60-13.45335,RGI60-13.45335,True,False,28,18,18,29,17,17
RGI60-13.45334,RGI60-13.45334,True,True,29,20,20,32,17,17
RGI60-13.24556,RGI60-13.24556,False,False,0,1,1,22,0,0
RGI60-16.01355,RGI60-16.01355,False,False,0,0,0,14,0,0
