DDF_opt_mb_monthly_cte,stats_mb_monthly_cte,DDF_opt_mb_monthly_var_an_cycle,stats_mb_monthly_var_an_cycle,DDF_opt_mb_daily_cte,stats_mb_daily_cte,DDF_opt_mb_daily_var_an_cycle,stats_mb_daily_var_an_cycle,DDF_opt_mb_real_daily_cte,stats_mb_real_daily_cte,DDF_opt_mb_real_daily_var_an_cycle,stats_mb_real_daily_var_an_cycle
199.87986652127492,"{'RMSD': 106.42062106429303, 'bias': -3.416630647734564e-05, 'rcor': 0.7417467259051526, 'quot_std': 1.007181688245407}",178.87767312322447,"{'RMSD': 98.65576698641063, 'bias': 5.8271753005101345e-05, 'rcor': 0.7661384428012459, 'quot_std': 0.9566519672917411}",172.52228519893944,"{'RMSD': 96.94428554262218, 'bias': 0.4601328283015391, 'rcor': 0.7756302867022877, 'quot_std': 0.9633102136214512}",155.92936147890504,"{'RMSD': 91.49924173969754, 'bias': 0.42023855326829107, 'rcor': 0.7936016775642241, 'quot_std': 0.9270931422329206}",176.27007723905749,"{'RMSD': 100.43183686034375, 'bias': 6.694768126180861e-05, 'rcor': 0.7821242117869724, 'quot_std': 1.051960308836934}",151.53346947857446,"{'RMSD': 98.92711587453032, 'bias': 0.00024850125328157446, 'rcor': 0.7707705362282793, 'quot_std': 0.9822288383610607}"
261.397866414366,"{'RMSD': 103.65636648781876, 'bias': 0.00010573581243988883, 'rcor': 0.7836061572571943, 'quot_std': 1.352904552326072}",224.2225717131186,"{'RMSD': 89.45901809872558, 'bias': 0.00010502389977773419, 'rcor': 0.7769869985062592, 'quot_std': 1.1534970326152234}",215.2657101559204,"{'RMSD': 77.90897989073625, 'bias': 0.5566280360453675, 'rcor': 0.8209951641846743, 'quot_std': 1.1083845319507166}",187.58434440751765,"{'RMSD': 71.66645661949107, 'bias': 0.5019012540756194, 'rcor': 0.820706834090002, 'quot_std': 0.9835588301310365}",220.56878886189224,"{'RMSD': 88.05690510247952, 'bias': 0.0001130745324644522, 'rcor': 0.8276094656388506, 'quot_std': 1.2709452709644935}",177.6041307441581,"{'RMSD': 71.8621424422091, 'bias': 0.00019721001763173263, 'rcor': 0.8455698836560384, 'quot_std': 1.095120068568771}"
222.7532810780155,"{'RMSD': 179.44152345189795, 'bias': -5.013258214603411e-05, 'rcor': 0.5870900604585434, 'quot_std': 1.5589210030587841}",176.06095384360657,"{'RMSD': 118.58976522390331, 'bias': -8.650139648125332e-05, 'rcor': 0.7714703291224423, 'quot_std': 1.3089518814153132}",190.89330141029157,"{'RMSD': 135.37071758420896, 'bias': 0.5137121494428811, 'rcor': 0.6548504049127745, 'quot_std': 1.246500118800618}",154.09835547946378,"{'RMSD': 97.02224910478604, 'bias': 0.42646659657157215, 'rcor': 0.7945093849603267, 'quot_std': 1.1185713156489838}",193.5408622309845,"{'RMSD': 119.90905309172068, 'bias': -7.802560025993444e-05, 'rcor': 0.696410428097759, 'quot_std': 1.1565107522136655}",142.42479651285072,"{'RMSD': 94.17520326076588, 'bias': 6.351342790367198e-05, 'rcor': 0.7608841342985903, 'quot_std': 0.9591152467603714}"
194.78630898815018,"{'RMSD': 98.4024349563397, 'bias': -9.20388465601718e-05, 'rcor': 0.8745107062556808, 'quot_std': 0.8812072329725783}",167.40975310868293,"{'RMSD': 108.96571326195378, 'bias': -0.00010621955902934133, 'rcor': 0.8423125155507709, 'quot_std': 0.7616292175834133}",165.38772138018825,"{'RMSD': 108.6740402735717, 'bias': 0.42679855198821315, 'rcor': 0.8441081663966646, 'quot_std': 0.7486108519613256}",144.01491027527035,"{'RMSD': 116.44466677095065, 'bias': 0.3851011572778589, 'rcor': 0.8263224114266627, 'quot_std': 0.6626288223979865}",169.37545376576315,"{'RMSD': 88.05462758688509, 'bias': -0.00017002739377858234, 'rcor': 0.9009772737336382, 'quot_std': 0.8074416382500804}",133.9034504005918,"{'RMSD': 95.29650711919734, 'bias': -0.00024335217176485457, 'rcor': 0.8964797841630282, 'quot_std': 0.6944070947579806}"
415.7428136889027,"{'RMSD': 160.2038071843123, 'bias': -0.00010427877452912071, 'rcor': 0.8555836819155476, 'quot_std': 2.940899982718918}",337.2565987137829,"{'RMSD': 131.26599694323397, 'bias': 7.807796384895482e-05, 'rcor': 0.8559271213737013, 'quot_std': 2.537578585026115}",304.6668599763384,"{'RMSD': 111.95321102782124, 'bias': 0.7238343477695253, 'rcor': 0.8683157903236729, 'quot_std': 2.2832691886132195}",257.82148870263205,"{'RMSD': 99.26240353898369, 'bias': 0.6362807604220961, 'rcor': 0.8591613889196029, 'quot_std': 2.085920672563885}",298.1312210786468,"{'RMSD': 101.25798991310016, 'bias': -0.00013836711877956986, 'rcor': 0.8833592476721331, 'quot_std': 2.1549018862909444}",235.08567915293824,"{'RMSD': 86.0862054589943, 'bias': -6.413116113890283e-05, 'rcor': 0.8768457076478724, 'quot_std': 1.923430139170403}"
152.1002328327216,"{'RMSD': 77.92682480554036, 'bias': -3.805372978149535e-05, 'rcor': 0.7952197332407678, 'quot_std': 1.1009925957649993}",140.24844803518283,"{'RMSD': 77.4834009858117, 'bias': 8.798947339982988e-05, 'rcor': 0.7875601648907687, 'quot_std': 1.0657705146716165}",133.10811181307264,"{'RMSD': 72.69214751565093, 'bias': 0.34485944491439113, 'rcor': 0.8015143058484805, 'quot_std': 1.0165183964417943}",123.5858226853081,"{'RMSD': 72.71179259978138, 'bias': 0.32551903752425915, 'rcor': 0.7958963441900152, 'quot_std': 0.9916631403596027}",134.57912726232243,"{'RMSD': 66.39157684753107, 'bias': -0.00017294191593464348, 'rcor': 0.8379026252558167, 'quot_std': 1.0333167798458065}",120.69735332295032,"{'RMSD': 67.07829879801133, 'bias': 1.953757237060927e-05, 'rcor': 0.8265683568452321, 'quot_std': 0.9931015853109402}"
245.10729542111588,"{'RMSD': 92.63265013901176, 'bias': -5.204608936537625e-05, 'rcor': 0.8196066710662758, 'quot_std': 1.809216580719512}",212.79351714215153,"{'RMSD': 81.14228896684607, 'bias': -6.022960178597714e-06, 'rcor': 0.8164331687018646, 'quot_std': 1.6354190979487226}",196.3646400398541,"{'RMSD': 74.6585954752404, 'bias': 0.4360785004836316, 'rcor': 0.8063484334325005, 'quot_std': 1.5147895608355644}",174.08763174406735,"{'RMSD': 69.48700488139977, 'bias': 0.3980985720297099, 'rcor': 0.8005254501934171, 'quot_std': 1.41703681264377}",194.58245539864976,"{'RMSD': 67.49265030861625, 'bias': -3.737954176585845e-05, 'rcor': 0.8223281232629533, 'quot_std': 1.4325025657581973}",162.02751883536342,"{'RMSD': 60.5033675121689, 'bias': 9.806382615806797e-05, 'rcor': 0.8241905424525724, 'quot_std': 1.3142787187869234}"
203.6537867752953,"{'RMSD': 117.61701764206795, 'bias': -8.696119482465292e-05, 'rcor': 0.6615783588020554, 'quot_std': 0.8436292734487687}",180.84944444849893,"{'RMSD': 126.14361544420042, 'bias': 3.4421088059843896e-05, 'rcor': 0.6251747726376403, 'quot_std': 0.8878740353766296}",172.06350198108876,"{'RMSD': 99.34151607412007, 'bias': 0.4451515952300724, 'rcor': 0.7504091943149631, 'quot_std': 0.759651580167849}",154.6536766201933,"{'RMSD': 103.64005452161325, 'bias': 0.41024616606472364, 'rcor': 0.7268589293512613, 'quot_std': 0.7651100379135198}",173.0176503638743,"{'RMSD': 72.46190296153851, 'bias': -0.00012061923672490593, 'rcor': 0.8757007634195256, 'quot_std': 0.7968835281456844}",148.4694656323283,"{'RMSD': 80.05219761733863, 'bias': -7.116470351320459e-05, 'rcor': 0.8458094511776671, 'quot_std': 0.7664866058369992}"
174.82320773816997,"{'RMSD': 85.3935814396809, 'bias': -8.455886086267128e-05, 'rcor': 0.7903460965558632, 'quot_std': 1.209734674533217}",157.68534756851005,"{'RMSD': 83.05788643504432, 'bias': -2.464919134581578e-05, 'rcor': 0.7867141177214897, 'quot_std': 1.162921718275858}",150.79331540735927,"{'RMSD': 80.66491593725829, 'bias': 0.3864180662723129, 'rcor': 0.7871294619519915, 'quot_std': 1.1238806747548515}",137.42932746783916,"{'RMSD': 79.52150608277996, 'bias': 0.3588729071337866, 'rcor': 0.7836546785859241, 'quot_std': 1.091670854837901}",153.371798393389,"{'RMSD': 77.73044213212842, 'bias': 4.474260322240298e-05, 'rcor': 0.8056721333465002, 'quot_std': 1.1329855432223253}",134.41101855200844,"{'RMSD': 75.96806081811073, 'bias': -0.00015292691489321442, 'rcor': 0.7997313791173561, 'quot_std': 1.0797809578018482}"
178.13150334516826,"{'RMSD': 114.89905843531467, 'bias': 6.795701892770012e-05, 'rcor': 0.7287970640516986, 'quot_std': 0.8566314709005238}",163.80875395524592,"{'RMSD': 115.07626284024448, 'bias': 0.00011935052111766709, 'rcor': 0.7285082752147399, 'quot_std': 0.8592867771959478}",154.56364909450522,"{'RMSD': 89.6719181332474, 'bias': 0.3963745015638551, 'rcor': 0.8381862216607582, 'quot_std': 0.7068792377193042}",143.18644378330973,"{'RMSD': 90.1555224528944, 'bias': 0.3739846047392348, 'rcor': 0.8363214025608856, 'quot_std': 0.7041727553371522}",155.31938167930892,"{'RMSD': 75.78429434280693, 'bias': -0.00014633973876243545, 'rcor': 0.8957120656497496, 'quot_std': 0.7100483300218581}",138.81247760549124,"{'RMSD': 82.81983458449503, 'bias': -0.0002524257631648652, 'rcor': 0.8726437752265106, 'quot_std': 0.6832090815395687}"
