0,DDF_opt_mb_monthly_cte,stats_mb_monthly_cte,DDF_opt_mb_monthly_var_an_cycle,stats_mb_monthly_var_an_cycle,DDF_opt_mb_daily_cte,stats_mb_daily_cte,DDF_opt_mb_daily_var_an_cycle,stats_mb_daily_var_an_cycle,DDF_opt_mb_real_daily_cte,stats_mb_real_daily_cte,DDF_opt_mb_real_daily_var_an_cycle,stats_mb_real_daily_var_an_cycle
RGI60-11.00002,162.34889113932513,"{'RMSD': 85.20067063174596, 'bias': -4.2427121343280305e-05, 'rcor': 0.8785273149464164, 'quot_std': 0.9021511170996397}",131.7206196138118,"{'RMSD': 82.25571633155309, 'bias': -0.0001754618040195055, 'rcor': 0.8928725658978021, 'quot_std': 0.790748860048213}",142.64159450299206,"{'RMSD': 80.36144898732185, 'bias': -1.1368683772161603e-12, 'rcor': 0.9044254762224836, 'quot_std': 0.757843017144607}",117.56536529890526,"{'RMSD': 86.13417742333498, 'bias': -2.2737367544323206e-13, 'rcor': 0.9009553768996921, 'quot_std': 0.6876282239844914}",144.32539154273348,"{'RMSD': 75.26880464524682, 'bias': 0.0001029268189540744, 'rcor': 0.9177017912330366, 'quot_std': 0.7738185439403054}",109.26455978893678,"{'RMSD': 93.59630965324662, 'bias': 0.00018088111460201617, 'rcor': 0.8653064053571217, 'quot_std': 0.7078084517977637}"
RGI60-11.00012,,,,,,,,,,,,
RGI60-11.00073,333.1933293759573,,,,,,,,,,,
RGI60-11.00080,249.5232296181466,"{'RMSD': 117.42330087472685, 'bias': 8.562769221498456e-05, 'rcor': 0.7206087087508122, 'quot_std': 1.1341830761642895}",203.47284622410203,"{'RMSD': 111.11176102232251, 'bias': 0.00010217874523732462, 'rcor': 0.705714244155716, 'quot_std': 0.9914013223621004}",205.25855346269884,"{'RMSD': 106.51681240243217, 'bias': -1.0231815394945443e-12, 'rcor': 0.7282263244819116, 'quot_std': 0.9863516278143959}",172.09662770807776,"{'RMSD': 104.63056256683397, 'bias': 4.547473508864641e-13, 'rcor': 0.7164823868828154, 'quot_std': 0.8920832018934982}",208.06415161753415,"{'RMSD': 96.99916793621264, 'bias': 8.559549814890488e-05, 'rcor': 0.778305353419646, 'quot_std': 1.003056483805112}",163.0307933841389,"{'RMSD': 96.27097743876713, 'bias': 3.80930777055255e-05, 'rcor': 0.7617996822368291, 'quot_std': 0.8975935394984847}"
RGI60-11.00106,242.79252485061537,"{'RMSD': 122.62566425905526, 'bias': -2.7757949737861054e-05, 'rcor': 0.7401123247179003, 'quot_std': 1.9635089869789564}",211.52155178347124,"{'RMSD': 112.48340781365498, 'bias': 9.472983515479427e-05, 'rcor': 0.7231993061036788, 'quot_std': 1.8015747842354206}",205.08645334470762,"{'RMSD': 104.19768150582217, 'bias': -4.547473508864641e-13, 'rcor': 0.7450348586850147, 'quot_std': 1.725982896488474}",181.36330743262192,"{'RMSD': 98.03605804265699, 'bias': -2.2737367544323206e-13, 'rcor': 0.7279269304976663, 'quot_std': 1.6085834172573068}",204.97677743345938,"{'RMSD': 97.64762081850547, 'bias': -1.6416045014011615e-05, 'rcor': 0.74788202533156, 'quot_std': 1.6395961556539995}",172.15877912781994,"{'RMSD': 89.65305829135825, 'bias': -0.00010985804669871868, 'rcor': 0.7435955646007171, 'quot_std': 1.5147547770725753}"
RGI60-11.00116,188.32348181050511,"{'RMSD': 232.10127430719632, 'bias': -7.538048384958529e-05, 'rcor': 0.6958012403715159, 'quot_std': 1.4735944804878423}",167.23871492276714,"{'RMSD': 207.49562131610264, 'bias': 0.0001117829564236672, 'rcor': 0.6886606683426172, 'quot_std': 1.296961893091906}",160.93084376327906,"{'RMSD': 188.55001239857114, 'bias': -6.821210263296962e-13, 'rcor': 0.7375375985310951, 'quot_std': 1.2701038015050643}",143.9643496436861,"{'RMSD': 172.26481916549574, 'bias': -1.5916157281026244e-12, 'rcor': 0.7389340142461279, 'quot_std': 1.1432057072210966}",162.89006440597706,"{'RMSD': 158.5609556736245, 'bias': 0.0002132063747239954, 'rcor': 0.8413923689674941, 'quot_std': 1.322046904180647}",136.49244059928736,"{'RMSD': 134.8037042998571, 'bias': -6.062696684239199e-06, 'rcor': 0.8502006764869219, 'quot_std': 1.1678842599431478}"
RGI60-11.00190,299.3527477818956,"{'RMSD': 142.48300214183286, 'bias': -7.036104295821133e-05, 'rcor': 0.8380936816230319, 'quot_std': 1.603952240818944}",250.1775773518254,"{'RMSD': 126.2721792248257, 'bias': -4.4978773644288594e-05, 'rcor': 0.8245385581990108, 'quot_std': 1.436309275958609}",243.02158977148366,"{'RMSD': 111.5433137680498, 'bias': -5.684341886080801e-13, 'rcor': 0.8244736827228674, 'quot_std': 1.2952278417594736}",207.77166253098815,"{'RMSD': 102.77012370637199, 'bias': 1.1368683772161603e-13, 'rcor': 0.8193521604314677, 'quot_std': 1.1817141519782084}",246.41796118191832,"{'RMSD': 107.53259435238999, 'bias': -7.217889049115911e-05, 'rcor': 0.8300330592460363, 'quot_std': 1.268828782282333}",195.47924896820052,"{'RMSD': 88.95291647441705, 'bias': 0.00011639653212114354, 'rcor': 0.8556547488949792, 'quot_std': 1.1326825812685632}"
RGI60-11.00251,197.2102812450249,"{'RMSD': 103.23942189517285, 'bias': 1.251622700237931e-05, 'rcor': 0.7671277076307463, 'quot_std': 1.1570663036426252}",167.2671901075151,"{'RMSD': 105.87617426802947, 'bias': -0.00011246220333305246, 'rcor': 0.7177426642623801, 'quot_std': 1.046188305818814}",169.40631596594147,"{'RMSD': 100.93011347639307, 'bias': -4.547473508864641e-13, 'rcor': 0.7462420372467751, 'quot_std': 1.0552955440067602}",145.6997505334408,"{'RMSD': 103.82668496490153, 'bias': -2.2737367544323206e-13, 'rcor': 0.7095512400323573, 'quot_std': 0.9805861705571326}",172.03783824698252,"{'RMSD': 90.79165722068335, 'bias': -9.438470169698121e-05, 'rcor': 0.8164808922212348, 'quot_std': 1.1366378692185735}",136.79551559600938,"{'RMSD': 94.54292135879179, 'bias': -4.7674608254055784e-05, 'rcor': 0.775560492284749, 'quot_std': 1.0478005233167857}"
RGI60-11.00289,132.93340994213622,"{'RMSD': 89.74745393764198, 'bias': -1.57317663251888e-06, 'rcor': 0.7282171648128255, 'quot_std': 0.8969907863369031}",119.15222778793793,"{'RMSD': 92.41191336310985, 'bias': -2.7949488639933406e-05, 'rcor': 0.7058154478781218, 'quot_std': 0.8682329496889953}",118.95571503179438,"{'RMSD': 92.99321814902204, 'bias': 0.0, 'rcor': 0.6976536542084115, 'quot_std': 0.8445914413094137}",107.3688733849074,"{'RMSD': 95.31142721656828, 'bias': 5.684341886080801e-13, 'rcor': 0.6776924510227553, 'quot_std': 0.8230777272087539}",121.13203913950359,"{'RMSD': 87.04914689312797, 'bias': -5.768674179762456e-05, 'rcor': 0.7433416274047002, 'quot_std': 0.8890640473784748}",104.04293145680157,"{'RMSD': 88.332961527318, 'bias': 1.852278239766747e-05, 'rcor': 0.7249736207027344, 'quot_std': 0.8154789968591654}"
RGI60-11.00300,155.23007738120893,"{'RMSD': 80.97832877889392, 'bias': 0.00011043488370887644, 'rcor': 0.714290454278023, 'quot_std': 1.3203663011350306}",138.10884450248287,"{'RMSD': 80.26832846946743, 'bias': 7.869157332152099e-05, 'rcor': 0.6967108697387789, 'quot_std': 1.2690385505397388}",137.9935166768557,"{'RMSD': 79.5257104664892, 'bias': 1.1368683772161603e-12, 'rcor': 0.6885071957693772, 'quot_std': 1.2368542551813362}",123.84932105862869,"{'RMSD': 79.82482331225394, 'bias': 1.1368683772161603e-13, 'rcor': 0.6694306929567776, 'quot_std': 1.1995343013752693}",140.2737807551728,"{'RMSD': 82.06694908413029, 'bias': 0.0001967861981029273, 'rcor': 0.6940969677539914, 'quot_std': 1.2958341504357538}",119.9754561313515,"{'RMSD': 78.18429308892149, 'bias': 1.1341777735651704e-05, 'rcor': 0.6796471523202445, 'quot_std': 1.1904412836831635}"
RGI60-11.00603,199.87986766698518,"{'RMSD': 106.42062142495696, 'bias': -3.424865121814946e-05, 'rcor': 0.7417467246404268, 'quot_std': 1.030883325449326}",178.87767324108336,"{'RMSD': 98.655767760265, 'bias': 5.7949968777393224e-05, 'rcor': 0.7661384398237583, 'quot_std': 0.979164508646393}",172.8238245201481,"{'RMSD': 96.98316172702647, 'bias': -1.1368683772161603e-12, 'rcor': 0.7756338978910258, 'quot_std': 0.986839737934985}",156.18833481867634,"{'RMSD': 91.52745362873421, 'bias': 4.547473508864641e-13, 'rcor': 0.793614900017473, 'quot_std': 0.9497727130859507}",176.27007739971822,"{'RMSD': 100.43183764182494, 'bias': 7.081880994519452e-05, 'rcor': 0.7821242082129548, 'quot_std': 1.0767157025578742}",151.53346973343338,"{'RMSD': 98.92711703640587, 'bias': 0.00025596183400011796, 'rcor': 0.7707705303381989, 'quot_std': 1.0053432654368344}"
RGI60-11.00619,261.3978662439279,"{'RMSD': 103.65636676258555, 'bias': 0.00010646759915289294, 'rcor': 0.7836061567007837, 'quot_std': 1.3972738154048268}",224.22257246837285,"{'RMSD': 89.45902625549682, 'bias': -0.00011681277760544617, 'rcor': 0.7769869871601419, 'quot_std': 1.1913267049549003}",215.71855599651443,"{'RMSD': 78.04491376487094, 'bias': 2.2737367544323206e-13, 'rcor': 0.8208140009740593, 'quot_std': 1.1464145267762407}",187.9534222889335,"{'RMSD': 71.7473465928294, 'bias': 0.0, 'rcor': 0.8205567243709895, 'quot_std': 1.017140868426652}",220.56878888772616,"{'RMSD': 88.05690715518404, 'bias': 0.00011786395020862983, 'rcor': 0.8276094593115212, 'quot_std': 1.3126266408947393}",177.60413111867857,"{'RMSD': 71.862144054371, 'bias': 0.0002024623754550703, 'rcor': 0.8455698774950237, 'quot_std': 1.1310351477693303}"
RGI60-11.00638,222.7532826772209,"{'RMSD': 179.44152352844574, 'bias': -3.633115102275042e-05, 'rcor': 0.5870900646081304, 'quot_std': 1.6282398913976042}",176.06095603204054,"{'RMSD': 118.58976339492621, 'bias': -6.97425077760272e-05, 'rcor': 0.7714703454788027, 'quot_std': 1.3671556695243934}",191.21428620927472,"{'RMSD': 135.57561244041332, 'bias': -4.547473508864641e-13, 'rcor': 0.6547934447571155, 'quot_std': 1.3041264852987005}",154.32957841135436,"{'RMSD': 97.18372363534034, 'bias': 0.0, 'rcor': 0.794345373967336, 'quot_std': 1.1700590993277977}",193.54086259378667,"{'RMSD': 119.90905418733918, 'bias': -8.059422407313832e-05, 'rcor': 0.6964104219701922, 'quot_std': 1.2079360844008373}",142.4247960845566,"{'RMSD': 94.17520527362876, 'bias': 5.5693058584438404e-05, 'rcor': 0.7608841235021522, 'quot_std': 1.001763201293876}"
