0,DDF_opt_mb_monthly_cte,stats_mb_monthly_cte,DDF_opt_mb_monthly_var_an_cycle,stats_mb_monthly_var_an_cycle,DDF_opt_mb_daily_cte,stats_mb_daily_cte,DDF_opt_mb_daily_var_an_cycle,stats_mb_daily_var_an_cycle,DDF_opt_mb_real_daily_cte,stats_mb_real_daily_cte,DDF_opt_mb_real_daily_var_an_cycle,stats_mb_real_daily_var_an_cycle
RGI60-11.00647,194.786308243846,"{'RMSD': 98.40244181536767, 'bias': 0.00013048705216078815, 'rcor': 0.8745106867168015, 'quot_std': 0.92887395381888}",167.40975239785638,"{'RMSD': 108.96571326307878, 'bias': -0.00011141916843371291, 'rcor': 0.8423125149637506, 'quot_std': 0.8028276985578113}",165.69467529583036,"{'RMSD': 108.62791709262054, 'bias': 1.1368683772161603e-13, 'rcor': 0.8442258600810931, 'quot_std': 0.7896552771086187}",144.2679621140012,"{'RMSD': 116.36695665914294, 'bias': -5.684341886080801e-13, 'rcor': 0.8265721321941404, 'quot_std': 0.6988466490894457}",169.37545377420466,"{'RMSD': 88.05462708785392, 'bias': -0.00015863067892496474, 'rcor': 0.9009772751649032, 'quot_std': 0.8511182154226098}",133.90345085263945,"{'RMSD': 95.29650759976076, 'bias': -0.00023537557012787147, 'rcor': 0.8964797827064317, 'quot_std': 0.7319693472385024}"
RGI60-11.00719,370.3014399813201,"{'RMSD': 143.68152876263915, 'bias': -0.0001069969425770978, 'rcor': 0.8581058311372993, 'quot_std': 2.7501682424701914}",305.6337735970137,"{'RMSD': 120.03440714778924, 'bias': 0.00015767947581935005, 'rcor': 0.8538704832898502, 'quot_std': 2.4068073697832792}",279.07172015079084,"{'RMSD': 105.12483373971597, 'bias': 2.2737367544323206e-13, 'rcor': 0.8653959557680381, 'quot_std': 2.2094270149669892}",238.75178897151574,"{'RMSD': 94.31483780646589, 'bias': 1.1368683772161603e-13, 'rcor': 0.8541698575240557, 'quot_std': 2.031337603013399}",279.6312306252993,"{'RMSD': 97.17834007709145, 'bias': -8.713956731298822e-06, 'rcor': 0.8825609671991803, 'quot_std': 2.1223679421126898}",223.13595247344736,"{'RMSD': 83.81298623596103, 'bias': -0.0001042213566506689, 'rcor': 0.8742117816808151, 'quot_std': 1.9096265666323433}"
RGI60-11.00781,152.10023208422083,"{'RMSD': 77.92682680468397, 'bias': -3.946160256873554e-05, 'rcor': 0.795219725925188, 'quot_std': 1.1198143575617863}",140.2484478187369,"{'RMSD': 77.48340287083762, 'bias': 8.436608663942025e-05, 'rcor': 0.7875601569549382, 'quot_std': 1.083990143208846}",133.32155914279173,"{'RMSD': 72.69375154943292, 'bias': 0.0, 'rcor': 0.8017336603840041, 'quot_std': 1.0349104644409448}",123.77757866096162,"{'RMSD': 72.70868016796024, 'bias': 1.1368683772161603e-13, 'rcor': 0.7961155073163122, 'quot_std': 1.009571663995876}",134.57912703127604,"{'RMSD': 66.3915776635452, 'bias': -0.0001692075938990456, 'rcor': 0.8379026233533905, 'quot_std': 1.0509816045588558}",120.69735330027545,"{'RMSD': 67.07829918778731, 'bias': 2.1864930886295042e-05, 'rcor': 0.8265683559025954, 'quot_std': 1.0100789164896662}"
RGI60-11.00787,245.1072929788774,"{'RMSD': 92.63265021708106, 'bias': -5.656376777096739e-05, 'rcor': 0.8196066727606842, 'quot_std': 1.8328674786706052}",212.7935169059122,"{'RMSD': 81.14228909674421, 'bias': -1.176785059442409e-05, 'rcor': 0.8164331706552451, 'quot_std': 1.6567980385908367}",196.82582986139104,"{'RMSD': 74.73747049366081, 'bias': -5.684341886080801e-13, 'rcor': 0.8066069528123663, 'quot_std': 1.5364127470520341}",174.47155285106595,"{'RMSD': 69.5403786801076, 'bias': -5.684341886080801e-13, 'rcor': 0.8008104262384806, 'quot_std': 1.4371270063651433}",194.58245617813262,"{'RMSD': 67.49265044219898, 'bias': -3.225683218488484e-05, 'rcor': 0.8223281233168525, 'quot_std': 1.451228886682966}",162.02751909056053,"{'RMSD': 60.50336744969549, 'bias': 0.00010282138788397788, 'rcor': 0.8241905434006085, 'quot_std': 1.3314595632764321}"
RGI60-11.00797,203.6537879383787,"{'RMSD': 117.61701528172375, 'bias': -8.16006750028464e-05, 'rcor': 0.6615783698424301, 'quot_std': 0.8948039593876043}",180.8494456835541,"{'RMSD': 126.14361495847109, 'bias': 3.601870190550471e-05, 'rcor': 0.6251747752181841, 'quot_std': 0.9417326259296036}",172.4174544279707,"{'RMSD': 99.12917292916522, 'bias': 9.094947017729282e-13, 'rcor': 0.7515886531739878, 'quot_std': 0.8059429219908347}",154.9502206261029,"{'RMSD': 103.48412074001249, 'bias': -2.8421709430404007e-13, 'rcor': 0.7277570155957171, 'quot_std': 0.811632930017351}",173.01764962285287,"{'RMSD': 72.46190315587458, 'bias': -0.00011878556222200132, 'rcor': 0.8757007625893264, 'quot_std': 0.8452226222771617}",148.46946610777013,"{'RMSD': 80.05219737722024, 'bias': -6.91652517161856e-05, 'rcor': 0.8458094522480034, 'quot_std': 0.8129818146104189}"
RGI60-11.00804,174.82320734131932,"{'RMSD': 85.39358094249914, 'bias': -8.557039120660193e-05, 'rcor': 0.7903460987056354, 'quot_std': 1.2255488693910226}",157.68534715886378,"{'RMSD': 83.0578861604803, 'bias': -2.7061346031587163e-05, 'rcor': 0.7867141182252051, 'quot_std': 1.178123951596894}",151.0581530427832,"{'RMSD': 80.690486423833, 'bias': -2.2737367544323206e-13, 'rcor': 0.7872993101963774, 'quot_std': 1.1395768977552614}",137.659767912299,"{'RMSD': 79.53808217153791, 'bias': 6.821210263296962e-13, 'rcor': 0.783828731387461, 'quot_std': 1.106855327648543}",153.37179839027598,"{'RMSD': 77.73044187984837, 'bias': 4.661190246224578e-05, 'rcor': 0.80567213532037, 'quot_std': 1.147796442563225}",134.41101830925504,"{'RMSD': 75.96805584552106, 'bias': 0.0001683273449089029, 'rcor': 0.7997313834067602, 'quot_std': 1.0938962571578201}"
RGI60-11.00807,178.1315043771543,"{'RMSD': 114.8990576544031, 'bias': 7.133925078051107e-05, 'rcor': 0.7287970685452256, 'quot_std': 0.9085948868399664}",163.80875307041183,"{'RMSD': 115.07626295101778, 'bias': 0.00012064232373631967, 'rcor': 0.7285082755197043, 'quot_std': 0.9114112648742604}",154.84070850405868,"{'RMSD': 89.63717055214799, 'bias': 0.0, 'rcor': 0.8382907522271926, 'quot_std': 0.7502066514455176}",143.43530607668376,"{'RMSD': 90.12284993765178, 'bias': -5.684341886080801e-13, 'rcor': 0.8364237976234382, 'quot_std': 0.747280113977749}",155.31938155813717,"{'RMSD': 75.78429358604998, 'bias': -0.00014918143779141246, 'rcor': 0.895712067483278, 'quot_std': 0.7531199892776625}",138.81247783882284,"{'RMSD': 82.81983373601508, 'bias': -0.0002541240885420848, 'rcor': 0.8726437763005254, 'quot_std': 0.7246526745544366}"
RGI60-11.00843,290.0745559662654,"{'RMSD': 130.64220456373232, 'bias': 3.494001964554627e-05, 'rcor': 0.696331178055059, 'quot_std': 1.5110138913413051}",234.3557647926876,"{'RMSD': 117.01090266208692, 'bias': 9.129085105996637e-05, 'rcor': 0.6966084888354781, 'quot_std': 1.3530595530339065}",242.82493004688368,"{'RMSD': 111.22419116475564, 'bias': -6.821210263296962e-13, 'rcor': 0.7197122669352141, 'quot_std': 1.3299815027839472}",201.05129568720673,"{'RMSD': 103.0360851209729, 'bias': -7.958078640513122e-13, 'rcor': 0.7201443038709668, 'quot_std': 1.2220173641580345}",244.55217819834976,"{'RMSD': 104.18396722998985, 'bias': -8.934854508879653e-05, 'rcor': 0.7557778427192424, 'quot_std': 1.3222564293841021}",185.45284755546962,"{'RMSD': 94.24044918113366, 'bias': -4.597767383529572e-05, 'rcor': 0.7496956147460914, 'quot_std': 1.1685813614653282}"
RGI60-11.00892,253.5111997084631,"{'RMSD': 222.94296283741102, 'bias': 1.756729673729751e-05, 'rcor': 0.2719796101847029, 'quot_std': 1.4510052406981186}",210.85733216408838,"{'RMSD': 204.81095003356586, 'bias': 3.599272818632926e-05, 'rcor': 0.34101287250408097, 'quot_std': 1.3759021694621303}",216.81124140507873,"{'RMSD': 184.99979517603558, 'bias': -7.105427357601002e-13, 'rcor': 0.40184425252964945, 'quot_std': 1.2715112116606297}",184.13953726759982,"{'RMSD': 175.9468524946091, 'bias': 0.0, 'rcor': 0.43534450136667147, 'quot_std': 1.2303909850370094}",219.1023908260944,"{'RMSD': 152.56754137143, 'bias': 3.563617497093219e-06, 'rcor': 0.5210665962840835, 'quot_std': 1.1178788431671176}",171.206743581503,"{'RMSD': 149.30954118375172, 'bias': -3.095851783996295e-05, 'rcor': 0.4792574172037559, 'quot_std': 0.9974576151116977}"
RGI60-11.00897,213.56141196536268,"{'RMSD': 76.15815200954879, 'bias': -5.3973857802702696e-05, 'rcor': 0.8683834607278405, 'quot_std': 1.640548577435435}",195.3228033216477,"{'RMSD': 70.57578254443224, 'bias': 5.098619260479609e-05, 'rcor': 0.8675901886131037, 'quot_std': 1.5574655779023914}",181.3834133570771,"{'RMSD': 64.8671489595173, 'bias': 2.2737367544323206e-13, 'rcor': 0.8691741521394788, 'quot_std': 1.4744955009171912}",167.50652521110422,"{'RMSD': 61.478985544052975, 'bias': 0.0, 'rcor': 0.8688757428168119, 'quot_std': 1.4200012839553995}",180.41955398054066,"{'RMSD': 61.55066679026815, 'bias': -6.650125260421191e-05, 'rcor': 0.8748693422007129, 'quot_std': 1.4365375252884953}",159.91274351628897,"{'RMSD': 56.328829387629995, 'bias': -0.0001658140377003292, 'rcor': 0.8795871086216089, 'quot_std': 1.3637078569555947}"
RGI60-11.00918,282.98067811868333,"{'RMSD': 301.4549851601059, 'bias': -5.482841652337811e-05, 'rcor': 0.38207596456423143, 'quot_std': 1.8571750382167405}",235.21279240790622,"{'RMSD': 297.1491628998237, 'bias': -0.00010724745445145345, 'rcor': 0.34086728781127124, 'quot_std': 1.7762027689643618}",246.59015162677193,"{'RMSD': 262.5262738793065, 'bias': -1.9895196601282805e-13, 'rcor': 0.3243611923835034, 'quot_std': 1.5088970304353184}",208.6121023132098,"{'RMSD': 260.4945830734022, 'bias': -2.842170943040401e-14, 'rcor': 0.2848931571758064, 'quot_std': 1.4440521536509892}",248.57954347416182,"{'RMSD': 215.76539381015547, 'bias': 2.818871044496518e-05, 'rcor': 0.415279561084166, 'quot_std': 1.2665565464819293}",192.53008371354238,"{'RMSD': 210.49836864957592, 'bias': -7.911291592677117e-05, 'rcor': 0.34450498535043933, 'quot_std': 1.116542622046024}"
RGI60-11.00929,,,,,,,,,,,,
RGI60-11.00957,182.94285961091376,"{'RMSD': 78.74652012381264, 'bias': 4.812288932498632e-05, 'rcor': 0.9340377556308196, 'quot_std': 1.1040705172663134}",169.14362792695917,"{'RMSD': 74.19746892274271, 'bias': -3.833313212453504e-05, 'rcor': 0.9394806907827269, 'quot_std': 1.086283625083488}",155.99909490800636,"{'RMSD': 76.71631575603668, 'bias': -4.547473508864641e-13, 'rcor': 0.9265810705373478, 'quot_std': 0.8424841934360755}",145.33904999795539,"{'RMSD': 74.40438913236756, 'bias': 0.0, 'rcor': 0.9336540605434422, 'quot_std': 0.8268224544859952}",152.67026773019577,"{'RMSD': 89.1982415483414, 'bias': -0.00020373038807974808, 'rcor': 0.9007528138828335, 'quot_std': 0.7905888125465602}",137.41134259527192,"{'RMSD': 86.75304384213783, 'bias': -0.00015603805593400466, 'rcor': 0.9120074610921589, 'quot_std': 0.7647629447228096}"
RGI60-11.01238,277.9445240111428,"{'RMSD': 268.73818890722043, 'bias': 7.963580526393343e-05, 'rcor': 0.8128199145827127, 'quot_std': 2.129021251676734}",245.99552297908872,"{'RMSD': 240.7255171251362, 'bias': -9.138964730937005e-05, 'rcor': 0.8221235752221714, 'quot_std': 1.9789322320346157}",246.8642626927715,"{'RMSD': 241.64074710212665, 'bias': -4.547473508864641e-13, 'rcor': 0.8288769543295595, 'quot_std': 1.9959332029859305}",220.49577755416087,"{'RMSD': 222.69231764039066, 'bias': 2.2737367544323206e-13, 'rcor': 0.8328312903713787, 'quot_std': 1.889335318691334}",247.42857164471653,"{'RMSD': 232.20120955085406, 'bias': -5.0096538643629174e-05, 'rcor': 0.8346878086305942, 'quot_std': 1.9497567898786485}",210.05726461196576,"{'RMSD': 208.0738986141721, 'bias': -4.6491099055856466e-05, 'rcor': 0.8442501856989457, 'quot_std': 1.821343787001852}"
RGI60-11.01367,177.0263082301624,"{'RMSD': 297.5604232697125, 'bias': 5.955153744707786e-05, 'rcor': 0.45064032534710113, 'quot_std': 2.2951690473386996}",165.88191376296675,"{'RMSD': 279.529255435764, 'bias': 3.909524355094618e-05, 'rcor': 0.49603892041673486, 'quot_std': 2.214109722548217}",161.955524326963,"{'RMSD': 276.77673890498335, 'bias': 4.547473508864641e-13, 'rcor': 0.4711138935787381, 'quot_std': 2.160800312936018}",151.62724286868027,"{'RMSD': 260.30836053963714, 'bias': -5.684341886080801e-13, 'rcor': 0.5147524252695015, 'quot_std': 2.0891037401383636}",161.57951951488786,"{'RMSD': 252.23999968138358, 'bias': 9.461469278448931e-05, 'rcor': 0.6115729140080248, 'quot_std': 2.1580225380489715}",146.04654007818255,"{'RMSD': 228.87569555740063, 'bias': 6.934886414455832e-06, 'rcor': 0.6222602321147881, 'quot_std': 1.990317039016367}"
RGI60-11.01376,199.137094855557,"{'RMSD': 285.2386409667284, 'bias': -5.9176784816372674e-05, 'rcor': 0.717620112682311, 'quot_std': 1.4370337415853667}",185.20583921614934,"{'RMSD': 266.8627283030511, 'bias': -2.9202825999163906e-05, 'rcor': 0.7405570421645944, 'quot_std': 1.3932323999096696}",182.17173528816113,"{'RMSD': 258.04956269905614, 'bias': -2.2737367544323206e-13, 'rcor': 0.7405642155132033, 'quot_std': 1.348009556756124}",169.27227052304153,"{'RMSD': 240.1038424449304, 'bias': 0.0, 'rcor': 0.7650116326452577, 'quot_std': 1.308736718741509}",182.81898417912407,"{'RMSD': 223.71059334501626, 'bias': -0.00015673877737754083, 'rcor': 0.8336262637670087, 'quot_std': 1.3918674319065625}",163.02259198971126,"{'RMSD': 198.32120994890454, 'bias': -0.00026002713661910093, 'rcor': 0.8410450614677719, 'quot_std': 1.2792452233581635}"
RGI60-11.01450,409.2167061877355,"{'RMSD': 144.0614837538983, 'bias': 4.605018887104961e-06, 'rcor': 0.8479330208710246, 'quot_std': 2.0388899775200997}",363.47754804882766,"{'RMSD': 137.75046710709927, 'bias': 0.00010659169703330917, 'rcor': 0.8527470965078862, 'quot_std': 1.9845306916205012}",342.42383779949535,"{'RMSD': 121.2198571743694, 'bias': 2.2737367544323206e-13, 'rcor': 0.8743298026227833, 'quot_std': 1.8580323177990468}",307.6431044128687,"{'RMSD': 116.73190703333562, 'bias': -5.115907697472721e-13, 'rcor': 0.8749227151802434, 'quot_std': 1.8136788285311551}",332.3250772488882,"{'RMSD': 115.63830496123494, 'bias': -4.174028185843781e-05, 'rcor': 0.8675389881010825, 'quot_std': 1.7881848917438907}",283.9000655581749,"{'RMSD': 108.87280196962652, 'bias': 5.3789777666679583e-05, 'rcor': 0.8679624265070256, 'quot_std': 1.7188139368061037}"
RGI60-11.01662,173.3408557222074,"{'RMSD': 172.13422177886306, 'bias': 0.0001165185258287238, 'rcor': 0.8801663202611076, 'quot_std': 1.190731180266283}",154.5103494224005,"{'RMSD': 158.60849392079956, 'bias': 7.787475806253497e-05, 'rcor': 0.8850077793501714, 'quot_std': 1.1225322797703934}",157.34069161236854,"{'RMSD': 162.2046719960518, 'bias': 0.0, 'rcor': 0.8759551403056821, 'quot_std': 1.1061826511593078}",140.5414830986525,"{'RMSD': 155.77807152502157, 'bias': 4.547473508864641e-13, 'rcor': 0.8765594398670168, 'quot_std': 1.0550884790368136}",157.97942788200632,"{'RMSD': 180.09257730549925, 'bias': -0.0001023603090288816, 'rcor': 0.856128084174996, 'quot_std': 1.1479375703165748}",132.08221359749624,"{'RMSD': 162.85142457681812, 'bias': -5.106128764964524e-05, 'rcor': 0.8592952812732028, 'quot_std': 1.0217101866934593}"
RGI60-11.01704,309.8953107796141,"{'RMSD': 117.93741390184698, 'bias': -0.00013765506207619183, 'rcor': 0.7485596144077209, 'quot_std': 1.3366705134410326}",256.2552029891446,"{'RMSD': 105.18844081337309, 'bias': 0.00017758945477908128, 'rcor': 0.7447173040113552, 'quot_std': 1.1683736935865554}",257.8793448802603,"{'RMSD': 104.873301252374, 'bias': 4.547473508864641e-13, 'rcor': 0.747747021945453, 'quot_std': 1.1723266545559057}",217.42409668610304,"{'RMSD': 97.8139784648968, 'bias': 1.2505552149377763e-12, 'rcor': 0.7470591895524756, 'quot_std': 1.060798513160127}",259.29447217167,"{'RMSD': 93.55533109973472, 'bias': 7.856121646909742e-05, 'rcor': 0.7946693329010225, 'quot_std': 1.1493636720624096}",195.70021584158803,"{'RMSD': 83.8138122218871, 'bias': 2.923216879935353e-05, 'rcor': 0.7995498178947502, 'quot_std': 0.9893062005580249}"
