,linear_tau0.5yr_updatemonthly_mb_fb_monthly,linear_tau0.5yr_updatemonthly_mb_fb_annual,linear_tau1yr_updatemonthly_mb_fb_monthly,linear_tau1yr_updatemonthly_mb_fb_annual,neg_exp_tau0.5yr_updatemonthly_mb_fb_monthly,neg_exp_tau0.5yr_updatemonthly_mb_fb_annual,neg_exp_tau1yr_updatemonthly_mb_fb_monthly,neg_exp_tau1yr_updatemonthly_mb_fb_annual
2070,4059622308.1752534,4098503013.3363256,4059622308.1752534,4098503013.3363256,3182567546.7617235,3210444011.869379,3515393299.790718,3550810587.7299776
2071,4020190422.8444786,4049236076.907901,4020190422.8444786,4049236076.907901,3164201523.971482,3182127219.511866,3469082750.6374474,3497205356.478203
2072,4146788376.9443083,4178830059.2596626,4146788376.9443083,4178830059.2596626,3279026963.63828,3294825206.3269124,3573417624.4462266,3604264309.652634
2073,4264151800.743933,4295272128.374923,4264151800.743933,4295272128.374923,3396891676.620045,3408883380.187248,3673586381.5473886,3703277984.240424
2074,4286272013.9202695,4317837503.0650425,4286272013.9202695,4317837503.0650425,3432663496.9244976,3446268196.217099,3688190611.637186,3714102279.0347776
2075,4364083276.401234,4389073033.289439,4364083276.401234,4389073033.289439,3516677342.4258556,3520635857.6918845,3761466499.027843,3777716516.8522243
2076,4239434189.9564724,4268996541.1179266,4239434189.9564724,4268996541.1179266,3411558019.173261,3426211973.571641,3648449192.880365,3666989089.429616
2077,4336455232.6532345,4363350451.536031,4336455232.6532345,4363350451.536031,3515344474.217073,3524734234.153777,3754931297.3944826,3768843037.588524
2078,4376723036.228323,4394580738.051519,4376723036.228323,4394580738.051519,3574164698.389059,3569491892.061561,3824533742.931033,3817091109.2007422
2079,4247752490.3100924,4277744501.951662,4247752490.3100924,4277744501.951662,3453738341.5420933,3463174633.1225734,3717048732.0786877,3730656149.791501
2080,4288049637.0248203,4308383509.93667,4288049637.0248203,4308383509.93667,3518853926.487567,3506265509.7154474,3784168925.8614845,3782290687.0008917
2081,4327483361.095446,4353192527.244583,4327483361.095446,4353192527.244583,3568443313.209799,3561331084.011542,3838627114.4199834,3843088174.7418904
2082,4367715068.00591,4400123845.151612,4367715068.00591,4400123845.151612,3608243371.660448,3621151326.9883585,3887460488.79648,3907574196.4927764
2083,4498976272.302572,4512999447.08123,4498976272.302572,4512999447.08123,3729201032.455679,3716726257.383105,4017527073.778603,4013530374.8089614
2084,4559131159.010306,4581822695.388922,4559131159.010306,4581822695.388922,3782853678.6483936,3787025789.7060614,4075371523.015467,4086725630.5248528
2085,4542423678.795572,4546255048.300283,4542423678.795572,4546255048.300283,3762851187.3028464,3746475777.4489036,4053519878.613042,4046753753.002735
2086,4520865910.8860035,4543312776.051779,4520865910.8860035,4543312776.051779,3731645463.4852495,3742373311.9364214,4027319350.964082,4044726596.7034674
2087,4685584267.393183,4695727824.8126,4685584267.393183,4695727824.8126,3895197409.0988674,3885583222.120905,4194636578.73058,4194656221.804119
2088,4834734786.698876,4838679038.7756195,4834734786.698876,4838679038.7756195,4029198696.896249,4017238560.3813276,4334627843.45496,4330029648.932007
2089,4877687101.059597,4891266023.132441,4877687101.059597,4891266023.132441,4055921808.106945,4054025155.497625,4362911152.387432,4368231899.017345
2090,4946327059.008782,4960452387.673036,4946327059.008782,4960452387.673036,4124377774.6687036,4124291619.724816,4432309526.329749,4438656025.579888
2091,5059644897.001518,5068087111.640953,5059644897.001518,5068087111.640953,4229721831.941996,4224398729.0521517,4542719968.600699,4543841025.766609
2092,5056255621.909651,5067217497.647543,5056255621.909651,5067217497.647543,4219337334.6529813,4217469610.8891735,4528893353.295944,4534959565.358705
2093,5180899972.82728,5188698146.194501,5180899972.82728,5188698146.194501,4355745740.02908,4349233187.831879,4659233093.620648,4661442075.510868
2094,5321593257.887703,5322450787.708297,5321593257.887703,5322450787.708297,4471143643.914076,4459432748.507658,4786610712.525811,4781417678.039754
2095,5421554160.973645,5399523177.3450165,5421554160.973645,5399523177.3450165,4547332263.361444,4508189339.930741,4865982938.838583,4836859771.34966
2096,5673330544.462586,5664220057.2245245,5673330544.462586,5664220057.2245245,4774312507.659724,4751328849.266087,5101825669.037228,5087285841.169332
2097,5752923870.171113,5749696153.380185,5752923870.171113,5749696153.380185,4817298816.105807,4805343407.340301,5155649192.690731,5152240096.085402
2098,5671291288.117406,5672324289.678532,5671291288.117406,5672324289.678532,4739143064.86925,4727664073.696522,5071360242.914143,5068541578.677088
2099,5533755651.426521,5543911375.005198,5533755651.426521,5543911375.005198,4620754098.646686,4623939291.173652,4943675084.1132555,4952309629.659204
2100,5475492025.48196,5479159156.560305,5475492025.48196,5479159156.560305,4582829444.015527,4579471676.303593,4900911899.739716,4902158940.320865
