,linear_tau0.5yr_updateannual_mb_fb_monthly,linear_tau0.5yr_updateannual_mb_fb_annual,linear_tau1yr_updateannual_mb_fb_monthly,linear_tau1yr_updateannual_mb_fb_annual,neg_exp_tau0.5yr_updateannual_mb_fb_monthly,neg_exp_tau0.5yr_updateannual_mb_fb_annual,neg_exp_tau1yr_updateannual_mb_fb_monthly,neg_exp_tau1yr_updateannual_mb_fb_annual
2004,13746834806.617527,13746834806.617527,13746834806.617527,13746834806.617527,13755954377.971628,13755954377.971628,13755711991.643324,13755711991.643324
2005,13772657159.233389,13793896053.623808,13772657159.233389,13793896053.623808,13781172849.304382,13804520622.354233,13781124722.363934,13803852862.618
2006,13511276758.385033,13550576620.62844,13511276758.385033,13550576620.62844,13496361798.623253,13549921255.854975,13502013895.953953,13551949407.930042
2007,13021766348.157187,13107210357.331503,13021766348.157187,13107210357.331503,12962294171.957129,13086518629.03808,12975548405.029404,13091027027.594303
2008,12880965705.454947,13006526118.761951,12880965705.454947,13006526118.761951,12821709609.569187,12987518605.964,12834716317.43601,12991595409.097038
2009,12704194284.900501,12866196125.913967,12704194284.900501,12866196125.913967,12642026941.220577,12848831844.37703,12655950659.20666,12852475143.036266
2010,12686868492.390385,12871123945.823353,12686868492.390385,12871123945.823353,12625716807.965357,12855198569.012533,12639359711.641571,12858428761.451406
2011,12698389881.27251,12904061337.523771,12698389881.27251,12904061337.523771,12638087647.419104,12889673178.744423,12651464251.644796,12892440806.584164
2012,12766555280.001215,12986798225.948368,12766555280.001215,12986798225.948368,12706677552.318512,12973822675.343967,12719883075.656185,12976145430.78294
2013,12657994002.525284,12908016751.134426,12657994002.525284,12908016751.134426,12588297978.615128,12894076956.735748,12604103934.480246,12896592081.469753
2014,12509422102.13158,12789740419.78754,12509422102.13158,12789740419.78754,12433282379.223808,12775460805.482334,12450148752.28379,12777809696.201397
2015,12380641746.727852,12683968616.477808,12380641746.727852,12683968616.477808,12302448248.544863,12671363346.85981,12319419259.587154,12673122157.562658
2016,12209342207.317379,12539861731.268585,12209342207.317379,12539861731.268585,12127135984.575363,12529322824.594376,12144744896.27502,12530486136.552177
2017,11811009419.258274,12166805089.723757,11811009419.258274,12166805089.723757,11712630980.197083,12149663274.221102,11734166187.149433,12152213369.944084
2018,11578383521.225445,11970207526.80566,11578383521.225445,11970207526.80566,11474830504.247835,11955337336.628937,11496951656.019875,11957328232.140968
2019,11495826219.377506,11926352764.487738,11495826219.377506,11926352764.487738,11393904501.431929,11914470313.108427,11415606848.31078,11915722373.41224
2020,11338370117.741438,11809989828.1376,11338370117.741438,11809989828.1376,11232175547.887997,11799783330.61137,11255218578.754408,11800632845.485437
2021,11404396001.242022,11899518043.30883,11404396001.242022,11899518043.30883,11300205774.282267,11891362232.842144,11322669858.141628,11891549969.379757
2022,11232369343.85826,11752269288.054966,11232369343.85826,11752269288.054966,11112967226.320951,11739679585.82634,11139807181.981302,11741129574.724257
2023,11002317062.04385,11536219395.771477,11002317062.04385,11536219395.771477,10871542088.248363,11521947794.66123,10900439123.008806,11523451483.566093
2024,10632690582.603775,11199397389.845743,10632690582.603775,11199397389.845743,10483737530.975525,11181788915.381811,10515780307.542551,11183301038.699848
2025,10337931918.146946,10936709069.757576,10337931918.146946,10936709069.757576,10188530424.421616,10921329090.722689,10220100538.316582,10922138011.366484
2026,10273325756.82333,10894692571.820469,10273325756.82333,10894692571.820469,10126191244.754158,10881903406.024319,10157231801.590572,10882078036.689428
2027,9900831019.604242,10585113257.958202,9900831019.604242,10585113257.958202,9710378686.041325,10568962596.429691,9754181147.204369,10570372629.826462
