,linear_tau0.5yr_updatemonthly_mb_fb_monthly,linear_tau0.5yr_updatemonthly_mb_fb_annual,linear_tau1yr_updatemonthly_mb_fb_monthly,linear_tau1yr_updatemonthly_mb_fb_annual,neg_exp_tau0.5yr_updatemonthly_mb_fb_monthly,neg_exp_tau0.5yr_updatemonthly_mb_fb_annual,neg_exp_tau1yr_updatemonthly_mb_fb_monthly,neg_exp_tau1yr_updatemonthly_mb_fb_annual
2061,3891966403.276117,3930120238.289984,3891966403.276117,3930120238.289984,3891966403.276117,3930120238.289984,3891966403.276117,3930120238.289984
2062,3825802150.819936,3854511235.1373167,3825802150.819936,3854511235.1373167,3825802150.819936,3854511235.1373167,3825802150.819936,3854511235.1373167
2063,3749801490.2057295,3783086067.742901,3749801490.2057295,3783086067.742901,3749801490.2057295,3783086067.742901,3749801490.2057295,3783086067.742901
2064,3667748126.5501328,3704805413.554238,3667748126.5501328,3704805413.554238,3667748126.5501328,3704805413.554238,3667748126.5501328,3704805413.554238
2065,3440816864.027152,3474518979.770874,3440816864.027152,3474518979.770874,3440816864.027152,3474518979.770874,3440816864.027152,3474518979.770874
2066,3307097796.69404,3333399825.21021,3307097796.69404,3333399825.21021,3307097796.69404,3333399825.21021,3307097796.69404,3333399825.21021
2067,3156412909.639344,3181477602.795184,3156412909.639344,3181477602.795184,3156412909.639344,3181477602.795184,3156412909.639344,3181477602.795184
2068,3097098950.68448,3101317699.9017067,3097098950.68448,3101317699.9017067,3097098950.68448,3101317699.9017067,3097098950.68448,3101317699.9017067
2069,3049431540.62887,3049097395.6700563,3049431540.62887,3049097395.6700563,3049431540.62887,3049097395.6700563,3049431540.62887,3049097395.6700563
2070,3001767787.236261,3022723157.8180456,3001767787.236261,3022723157.8180456,3001767787.236261,3022723157.8180456,3001767787.236261,3022723157.8180456
2071,2980007314.495903,2991022544.6155577,2980007314.495903,2991022544.6155577,2980007314.495903,2991022544.6155577,2980007314.495903,2991022544.6155577
2072,3063789467.441255,3077369487.0406537,3063789467.441255,3077369487.0406537,3063789467.441255,3077369487.0406537,3063789467.441255,3077369487.0406537
2073,3150283483.703159,3163275106.8230715,3150283483.703159,3163275106.8230715,3150283483.703159,3163275106.8230715,3150283483.703159,3163275106.8230715
2074,3166613861.7165213,3179142966.547224,3166613861.7165213,3179142966.547224,3166613861.7165213,3179142966.547224,3166613861.7165213,3179142966.547224
2075,3239104031.3460264,3234522676.575464,3239104031.3460264,3234522676.575464,3239104031.3460264,3234522676.575464,3239104031.3460264,3234522676.575464
2076,3150590042.662184,3158008346.692481,3150590042.662184,3158008346.692481,3150590042.662184,3158008346.692481,3150590042.662184,3158008346.692481
2077,3240544823.559247,3241685537.8525763,3240544823.559247,3241685537.8525763,3240544823.559247,3241685537.8525763,3240544823.559247,3241685537.8525763
2078,3292823474.58644,3279027581.011692,3292823474.58644,3279027581.011692,3292823474.58644,3279027581.011692,3292823474.58644,3279027581.011692
