,linear_tau0.5yr_updateannual_mb_fb_monthly,linear_tau0.5yr_updateannual_mb_fb_annual,linear_tau1yr_updateannual_mb_fb_monthly,linear_tau1yr_updateannual_mb_fb_annual,neg_exp_tau0.5yr_updateannual_mb_fb_monthly,neg_exp_tau0.5yr_updateannual_mb_fb_annual,neg_exp_tau1yr_updateannual_mb_fb_monthly,neg_exp_tau1yr_updateannual_mb_fb_annual
2036,6785544140.779109,7734254654.991552,6785544140.779109,7734254654.991552,6561122289.771795,7714243699.769618,6612141114.409507,7715222889.000426
2037,6621551279.8169565,7574416097.21357,6621551279.8169565,7574416097.21357,6396652337.087899,7556037757.307817,6447993022.116566,7556596397.788082
2038,6417664014.143654,7376939811.221977,6417664014.143654,7376939811.221977,6186804738.79144,7357646765.43635,6240204376.330403,7358665586.04198
2039,6080335996.671743,7046778339.976343,6080335996.671743,7046778339.976343,5825693596.14381,7019020356.439274,5884191502.186857,7021656354.867125
2040,5832323232.674115,6832692630.22567,5832323232.674115,6832692630.22567,5580366226.282737,6806614741.319225,5637380080.00491,6808818419.767899
2041,5745890359.1076,6747073772.169308,5745890359.1076,6747073772.169308,5504397370.568539,6722368551.431416,5559143877.844989,6724226261.406567
2042,5696218548.1811695,6675319141.268337,5696218548.1811695,6675319141.268337,5450097639.737389,6651304242.837314,5506754720.360752,6653046362.508125
2043,5716723046.508018,6679946806.907433,5716723046.508018,6679946806.907433,5469571230.290098,6656710113.883497,5526493514.298069,6658315960.756813
2044,5596649707.8706665,6566633709.405445,5596649707.8706665,6566633709.405445,5330477531.7456875,6543702607.510345,5392423534.752281,6545259351.905667
2045,5351988501.430621,6314686427.763348,5351988501.430621,6314686427.763348,5077490174.495359,6282038681.370409,5140480640.298529,6285552701.542465
2046,5283775312.70698,6263223877.699,5283775312.70698,6263223877.699,5030522693.907552,6232241922.81863,5086715117.093548,6235392242.183678
2047,5272215562.820236,6252055620.723486,5272215562.820236,6252055620.723486,5039257800.883686,6222319695.276371,5090879211.721562,6224992060.429296
2048,5350120392.460092,6320971404.986742,5350120392.460092,6320971404.986742,5135237271.541704,6292441438.192581,5181532286.510263,6294707170.218794
2049,5258237425.181833,6186476992.61274,5258237425.181833,6186476992.61274,5058148716.158553,6155174388.123594,5107688751.950095,6157993802.756397
2050,5396707165.802048,6275576745.162277,5396707165.802048,6275576745.162277,5214205852.95086,6245740374.947655,5253647002.514813,6248071558.868183
2051,5256112949.523378,6056384539.420963,5256112949.523378,6056384539.420963,5061442358.717124,6018430989.649353,5100799588.635015,6023049548.073737
2052,5201343598.638927,5948047877.414258,5201343598.638927,5948047877.414258,5013317836.345367,5910899559.335512,5052749849.616534,5915125273.525921
2053,5205627237.407032,5892992372.006697,5205627237.407032,5892992372.006697,5026318057.987957,5857129623.112796,5066027541.166023,5860952327.007087
2054,5019688839.776162,5655698365.934832,5019688839.776162,5655698365.934832,4834191946.357702,5618149528.671278,4878923435.432945,5622459516.798172
2055,4939854628.442224,5559330314.90852,4939854628.442224,5559330314.90852,4760014066.261749,5527224434.263277,4805865400.690759,5530891055.627274
2056,4625454353.9006,5244707509.866906,4625454353.9006,5244707509.866906,4435076199.154141,5211406943.033308,4487744573.740547,5216193048.809461
2057,4490516582.702376,5128949633.098166,4490516582.702376,5128949633.098166,4312320192.332773,5105438060.976341,4365544903.323169,5108991317.685381
