,linear_tau1yr_updatemonthly_mb_fb_annual,neg_exp_tau1yr_updatemonthly_mb_fb_annual
2004,13753616140.65429,13756501428.738144
2005,13852419129.04041,13854144680.81134
2006,13646835081.398497,13641870891.643303
2007,13253022126.204052,13252159931.46207
2008,13187509511.83321,13190592478.44067
2009,13031629215.85721,13038002412.238
2010,13018114930.229164,13029349135.962727
2011,13063723012.715084,13069441791.634117
2012,13147321289.419191,13139542054.771051
2013,13094651478.85072,13085438308.199255
2014,12991451842.178501,12985763837.97238
2015,12848968586.110043,12833347525.877546
2016,12619312211.385904,12611869742.496334
2017,12146166644.940037,12141388260.112007
2018,11936354876.851227,11935148131.225225
2019,11833487908.14413,11827729095.722427
2020,11726067150.083065,11720373011.911839
2021,11727541575.867674,11700280322.738602
2022,11508371904.031696,11475817172.469713
2023,11238778093.494865,11203804617.333118
2024,10771848342.74622,10733824388.070581
2025,10504488110.821634,10463705422.947643
2026,10398106780.256153,10356644451.005573
2027,10024523518.235659,9978072727.421837
2028,9878443481.069843,9818074657.100582
2029,9491254597.212305,9405236897.493355
2030,9251642284.573399,9164109913.346722
2031,8715107493.859251,8627824335.032286
2032,8413055296.598976,8323859132.736807
2033,8169954032.235274,8091992302.177125
2034,7980077691.07729,7888450878.719803
2035,7929288681.788185,7813543419.322406
2036,7693953208.981055,7573613102.547745
2037,7519906308.938574,7389424931.821446
2038,7330911565.656029,7179282075.348692
2039,7000727248.415556,6835265116.950542
2040,6755122510.187761,6588352461.098112
2041,6671872978.6189995,6485390892.938333
2042,6602090853.43947,6404012621.88172
2043,6600545725.920215,6399365267.206262
2044,6475758857.848038,6257357593.581174
2045,6237156622.726382,5990697565.015629
2046,6158950126.69455,5891917484.296549
2047,6142528579.18646,5846911194.875552
2048,6200168087.141235,5879901946.534376
2049,6067215243.651564,5726708391.53821
2050,6147598361.703736,5782420345.065889
2051,5922469617.416149,5536890315.093002
2052,5822626336.092298,5437252717.792687
2053,5743931706.460438,5379025402.9659395
2054,5529245120.365253,5165209178.070927
2055,5415261510.960223,5078626478.711544
2056,5151065121.868429,4808811506.444915
2057,5030001637.441443,4689728978.894581
2058,5043573828.74424,4705048977.34972
2059,5169581143.212407,4834635241.656374
2060,5051166777.80287,4719350472.771791
2061,5028966179.204044,4689824424.76399
2062,5041236736.767419,4691174451.184301
2063,5093994374.473158,4739857034.770875
2064,5126627079.310755,4778549422.866112
2065,4901711882.577702,4553141778.372633
2066,4780610360.183255,4444751963.876469
2067,4590426556.960055,4257749132.8686047
2068,4484685066.349573,4155496679.002447
2069,4389438858.352183,4069483772.6864696
2070,4403600629.347822,4074259097.8386683
2071,4330675406.584314,3992955912.183289
2072,4481953074.036812,4127065532.5768466
2073,4654127408.681931,4285719478.2777877
2074,4747355537.591151,4367970951.428727
2075,4833929666.064721,4450519299.354145
2076,4741093649.6539135,4343090325.288231
2077,4852319873.459848,4451353323.921989
2078,4930469865.97964,4530635247.731207
2079,4817408148.363632,4410062945.741411
2080,4816626822.767586,4411968003.746328
2081,4875193399.846195,4466174856.226658
2082,4970318813.58787,4555432710.576229
2083,5055084044.175783,4637587364.205653
2084,5145743570.41885,4731964785.8869915
2085,5087934308.997938,4669668677.321182
2086,5093150531.178483,4671926227.810483
2087,5230566790.151207,4802884373.427439
2088,5376622267.890955,4938300304.23407
2089,5458640299.534041,5008922598.88569
2090,5537069681.224132,5089335490.497266
2091,5653881162.112679,5205938447.510754
2092,5655233380.328384,5204441144.612741
2093,5813565121.50732,5372978909.935932
2094,5924145068.262489,5471897286.738617
2095,5990055206.134813,5530776204.402654
2096,6230963045.766094,5765746047.027094
2097,6260742415.325399,5788666133.593197
2098,6182970389.452053,5717559831.447423
2099,6085262963.577463,5643587860.579698
2100,5921426785.46053,5502129176.680139
