,Year,BEGIN_PERIOD,END_PERIOD,END_WINTER,WGMS_ID,TIME_SYSTEM,month_END_WINTER,day_END_WINTER,month_BEGIN_PERIOD,day_BEGIN_PERIOD,month_END_PERIOD,day_END_PERIOD,rgi_id,at_least_5_winter_mb,at_least_10_annual_mb
133,2002,2001-02-20,2002-01-09,2001-12-08,3367,COM,12.0,8.0,2.0,20.0,1.0,9.0,RGI60-19.02056,True,True
134,2003,2002-01-10,2003-02-14,2002-12-03,3367,COM,12.0,3.0,1.0,10.0,2.0,14.0,RGI60-19.02056,True,True
135,2004,2003-02-15,2004-02-17,2003-11-24,3367,COM,11.0,24.0,2.0,15.0,2.0,17.0,RGI60-19.02056,True,True
136,2005,2004-02-18,2005-02-17,2004-12-06,3367,COM,12.0,6.0,2.0,18.0,2.0,17.0,RGI60-19.02056,True,True
137,2006,2005-02-18,2006-02-22,2005-12-08,3367,COM,12.0,8.0,2.0,18.0,2.0,22.0,RGI60-19.02056,True,True
138,2007,2006-02-23,2007-02-23,2006-12-01,3367,COM,12.0,1.0,2.0,23.0,2.0,23.0,RGI60-19.02056,True,True
139,2008,2007-02-24,2008-02-20,2007-12-01,3367,COM,12.0,1.0,2.0,24.0,2.0,20.0,RGI60-19.02056,True,True
140,2009,2008-02-21,2009-02-10,2008-11-29,3367,COM,11.0,29.0,2.0,21.0,2.0,10.0,RGI60-19.02056,True,True
141,2010,2009-02-11,2010-02-25,2009-12-03,3367,COM,12.0,3.0,2.0,11.0,2.0,25.0,RGI60-19.02056,True,True
142,2011,2010-02-26,2011-02-26,2010-12-22,3367,COM,12.0,22.0,2.0,26.0,2.0,26.0,RGI60-19.02056,True,True
143,2012,2011-02-26,2012-02-15,2011-12-06,3367,COM,12.0,6.0,2.0,26.0,2.0,15.0,RGI60-19.02056,True,True
144,2013,2012-02-15,2013-02-18,2012-12-28,3367,COM,12.0,28.0,2.0,15.0,2.0,18.0,RGI60-19.02056,True,True
155,2002,2001-02-20,2002-01-09,2001-12-08,3366,COM,12.0,8.0,2.0,20.0,1.0,9.0,RGI60-19.02059,True,True
156,2003,2002-01-10,2003-02-14,2002-12-03,3366,COM,12.0,3.0,1.0,10.0,2.0,14.0,RGI60-19.02059,True,True
157,2004,2003-02-15,2004-02-17,2003-11-24,3366,COM,11.0,24.0,2.0,15.0,2.0,17.0,RGI60-19.02059,True,True
158,2005,2004-02-18,2005-02-17,2004-12-06,3366,COM,12.0,6.0,2.0,18.0,2.0,17.0,RGI60-19.02059,True,True
159,2006,2005-02-18,2006-02-22,2005-12-08,3366,COM,12.0,8.0,2.0,18.0,2.0,22.0,RGI60-19.02059,True,True
160,2007,2006-02-23,2007-02-23,2006-12-01,3366,COM,12.0,1.0,2.0,23.0,2.0,23.0,RGI60-19.02059,True,True
161,2008,2007-02-24,2008-02-20,2007-12-01,3366,COM,12.0,1.0,2.0,24.0,2.0,20.0,RGI60-19.02059,True,True
162,2009,2008-02-21,2009-02-10,2008-11-29,3366,COM,11.0,29.0,2.0,21.0,2.0,10.0,RGI60-19.02059,True,True
163,2010,2009-02-11,2010-02-28,2009-12-03,3366,COM,12.0,3.0,2.0,11.0,2.0,28.0,RGI60-19.02059,True,True
164,2011,2010-02-28,2011-03-02,2010-12-21,3366,COM,12.0,21.0,2.0,28.0,3.0,2.0,RGI60-19.02059,True,True
165,2012,2011-03-01,2012-02-17,2011-12-06,3366,COM,12.0,6.0,3.0,1.0,2.0,17.0,RGI60-19.02059,True,True
166,2013,2012-02-17,2013-02-18,2012-12-27,3366,COM,12.0,27.0,2.0,17.0,2.0,18.0,RGI60-19.02059,True,True
225,2015,2014-03-31,2015-04-10,2014-09-25,4532,FLO,9.0,25.0,3.0,31.0,4.0,10.0,RGI60-17.14642,True,False
226,2016,2015-04-10,2016-04-15,2015-12-05,4532,FLO,12.0,5.0,4.0,10.0,4.0,15.0,RGI60-17.14642,True,False
227,2017,2016-04-15,2017-05-04,2016-12-20,4532,FLO,12.0,20.0,4.0,15.0,5.0,4.0,RGI60-17.14642,True,False
228,2018,2017-04-05,2018-04-15,2017-11-05,4532,FLO,11.0,5.0,4.0,5.0,4.0,15.0,RGI60-17.14642,True,False
229,2019,2018-04-15,2019-03-20,2018-11-10,4532,FLO,11.0,10.0,4.0,15.0,3.0,20.0,RGI60-17.14642,True,False
243,2015,2014-04-25,2015-05-04,2014-12-11,3903,COM,12.0,11.0,4.0,25.0,5.0,4.0,RGI60-17.14681,False,True
255,2015,2014-04-23,2015-05-06,2014-12-12,3902,COM,12.0,12.0,4.0,23.0,5.0,6.0,RGI60-17.14682,False,True
278,2015,2014-04-28,2015-05-14,2014-12-21,3904,COM,12.0,21.0,4.0,28.0,5.0,14.0,RGI60-17.14889,False,True
285,2001,2000-03-26,2001-04-02,2000-09-29,2000,STR,9.0,29.0,3.0,26.0,4.0,2.0,RGI60-17.02128,True,True
286,2002,2001-04-21,2002-04-08,2001-10-29,2000,STR,10.0,29.0,4.0,21.0,4.0,8.0,RGI60-17.02128,True,True
287,2003,2002-05-19,2003-04-25,2002-11-12,2000,STR,11.0,12.0,5.0,19.0,4.0,25.0,RGI60-17.02128,True,True
288,2004,2003-06-01,2004-04-14,2003-10-30,2000,STR,10.0,30.0,6.0,1.0,4.0,14.0,RGI60-17.02128,True,True
294,2010,2009-03-31,2010-04-09,2010-12-14,2000,COM,12.0,14.0,3.0,31.0,4.0,9.0,RGI60-17.02128,True,True
295,2011,2010-04-09,2011-03-31,2010-10-31,2000,COM,10.0,31.0,4.0,9.0,3.0,31.0,RGI60-17.02128,True,True
296,2012,2011-03-31,2012-03-31,2011-10-31,2000,COM,10.0,31.0,3.0,31.0,3.0,31.0,RGI60-17.02128,True,True
297,2013,2012-03-31,2013-03-31,2012-11-12,2000,COM,11.0,12.0,3.0,31.0,3.0,31.0,RGI60-17.02128,True,True
298,2014,2013-03-31,2014-04-04,2013-11-05,2000,COM,11.0,5.0,3.0,31.0,4.0,4.0,RGI60-17.02128,True,True
299,2015,2014-04-04,2015-03-31,2014-11-01,2000,COM,11.0,1.0,4.0,4.0,3.0,31.0,RGI60-17.02128,True,True
300,2016,2015-04-01,2016-03-31,2015-10-01,2000,COM,10.0,1.0,4.0,1.0,3.0,31.0,RGI60-17.02128,True,True
301,2017,2016-04-01,2017-03-31,2016-10-16,2000,COM,10.0,16.0,4.0,1.0,3.0,31.0,RGI60-17.02128,True,True
302,2018,2017-04-01,2018-03-31,2017-10-17,2000,COM,10.0,17.0,4.0,1.0,3.0,31.0,RGI60-17.02128,True,True
303,2019,2018-04-01,2019-03-21,2018-10-11,2000,COM,10.0,11.0,4.0,1.0,3.0,21.0,RGI60-17.02128,True,True
358,2001,2000-10-01,2001-09-30,2001-04-30,1305,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00289,True,True
359,2002,2001-10-01,2002-09-30,2002-04-30,1305,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00289,True,True
360,2003,2002-10-01,2003-09-30,2003-04-30,1305,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00289,True,True
361,2004,2003-10-01,2004-09-30,2004-04-30,1305,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00289,True,True
362,2005,2004-10-01,2005-09-30,2005-04-30,1305,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00289,True,True
364,2007,2006-10-01,2007-09-30,2007-04-30,1305,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00289,True,True
365,2008,2007-10-01,2008-10-15,2008-05-27,1305,COM,5.0,27.0,10.0,1.0,10.0,15.0,RGI60-11.00289,True,True
366,2009,2008-10-15,2009-09-18,2009-05-03,1305,COM,5.0,3.0,10.0,15.0,9.0,18.0,RGI60-11.00289,True,True
367,2010,2009-09-18,2010-08-29,2010-04-28,1305,COM,4.0,28.0,9.0,18.0,8.0,29.0,RGI60-11.00289,True,True
368,2011,2010-08-29,2011-09-18,2011-04-29,1305,COM,4.0,29.0,8.0,29.0,9.0,18.0,RGI60-11.00289,True,True
