0,0,DDF_opt_mb_monthly_cte,stats_mb_monthly_cte,DDF_opt_mb_monthly_var_an_cycle,stats_mb_monthly_var_an_cycle,DDF_opt_mb_daily_cte,stats_mb_daily_cte,DDF_opt_mb_daily_var_an_cycle,stats_mb_daily_var_an_cycle,DDF_opt_mb_real_daily_cte,stats_mb_real_daily_cte,DDF_opt_mb_real_daily_var_an_cycle,stats_mb_real_daily_var_an_cycle
RGI60-11.00002,RGI60-11.00002,162.33670422723998,"{'RMSD': 85.2026731783895, 'bias': 6.181008234307228e-05, 'rcor': 0.8785190219364283, 'quot_std': 0.8636584909124515}",131.71323223081723,"{'RMSD': 82.26456680369107, 'bias': 0.00014996540744505182, 'rcor': 0.8928473496874122, 'quot_std': 0.7570562461508314}",142.43954893243819,"{'RMSD': 80.32073342553144, 'bias': -0.04502861255559765, 'rcor': 0.9047316699755958, 'quot_std': 0.7247413429248203}",117.41372607932362,"{'RMSD': 86.10870582635012, 'bias': -0.038454288979892226, 'rcor': 0.9012599897016199, 'quot_std': 0.6577259399344321}",144.3163049166193,"{'RMSD': 75.27244104537084, 'bias': 0.0002701733883441193, 'rcor': 0.917696203178984, 'quot_std': 0.7408462323592784}",109.25936394425105,"{'RMSD': 93.6000405170309, 'bias': 0.00018039120232060668, 'rcor': 0.8652968065290857, 'quot_std': 0.6776494081869499}"
RGI60-11.00012,RGI60-11.00012,,,,,,,,,,,,
RGI60-11.00073,RGI60-11.00073,347.3809689038307,"{'RMSD': 3.8070075106588774e-05, 'bias': -3.8070075106588774e-05, 'rcor': nan, 'quot_std': nan}",234.3316588201741,"{'RMSD': 5.1658128882081655e-05, 'bias': -5.1658128882081655e-05, 'rcor': nan, 'quot_std': nan}",256.31912892452374,"{'RMSD': 0.05124615345403072, 'bias': -0.05124615345403072, 'rcor': nan, 'quot_std': nan}",185.25129245747388,"{'RMSD': 0.04345412340001076, 'bias': -0.04345412340001076, 'rcor': nan, 'quot_std': nan}",266.9598512413187,"{'RMSD': 0.00021377356313223572, 'bias': 0.00021377356313223572, 'rcor': nan, 'quot_std': nan}",188.85042640159756,"{'RMSD': 9.349113815915189e-05, 'bias': 9.349113815915189e-05, 'rcor': nan, 'quot_std': nan}"
RGI60-11.00080,RGI60-11.00080,249.52892731657,"{'RMSD': 117.42395604323033, 'bias': -6.042995164534659e-05, 'rcor': 0.7206119483651131, 'quot_std': 1.1191775634102665}",203.476933022114,"{'RMSD': 111.11206103101148, 'bias': 5.7973386901721824e-05, 'rcor': 0.705716543700571, 'quot_std': 0.9782829157582865}",204.8618107371716,"{'RMSD': 106.50391784661221, 'bias': -0.06153129182871453, 'rcor': 0.7280862132992082, 'quot_std': 0.9725095386358468}",171.79079776671918,"{'RMSD': 104.62658304140328, 'bias': -0.05332036791185146, 'rcor': 0.7163593151830174, 'quot_std': 0.8795384349620486}",208.0680579704882,"{'RMSD': 96.99937430858677, 'bias': 7.734780479040637e-05, 'rcor': 0.7783061405557555, 'quot_std': 0.9897780016046948}",163.03330117462133,"{'RMSD': 96.27093179630721, 'bias': 0.00013408703523509757, 'rcor': 0.7618007264918436, 'quot_std': 0.8857096601133582}"
RGI60-11.00106,RGI60-11.00106,244.36243580754058,"{'RMSD': 123.23629006690192, 'bias': -9.806697266867559e-05, 'rcor': 0.7403319913999135, 'quot_std': 1.9407338031959835}",212.69560715315308,"{'RMSD': 112.92882935724548, 'bias': 6.945335667296604e-05, 'rcor': 0.7234724151037185, 'quot_std': 1.7795719960731322}",205.87137760469403,"{'RMSD': 104.46459578093757, 'bias': -0.0572429871069744, 'rcor': 0.7452482649137611, 'quot_std': 1.7027840096530535}",181.94051083528916,"{'RMSD': 98.2260706828189, 'bias': -0.05214938391736723, 'rcor': 0.7281388905632084, 'quot_std': 1.5863271338259208}",206.1065515877323,"{'RMSD': 97.96346965101718, 'bias': -4.22963111077479e-05, 'rcor': 0.7481188727925591, 'quot_std': 1.6186100621533077}",172.92584651480524,"{'RMSD': 89.8592588269464, 'bias': 2.1075069525977597e-05, 'rcor': 0.7438599781581919, 'quot_std': 1.4944645352975547}"
RGI60-11.00116,RGI60-11.00116,188.59846697921807,"{'RMSD': 232.26690857207046, 'bias': 1.7913683109327394e-05, 'rcor': 0.696224927300694, 'quot_std': 1.3196600255353836}",167.46069626206793,"{'RMSD': 207.64676558531636, 'bias': 4.542110764305107e-05, 'rcor': 0.6889773302809457, 'quot_std': 1.1616002012691575}",160.87063094640388,"{'RMSD': 188.6984052976231, 'bias': -0.046222496761402, 'rcor': 0.7374036323831817, 'quot_std': 1.136706985573354}",143.9074057495893,"{'RMSD': 172.4451263415571, 'bias': -0.04227229407081268, 'rcor': 0.7386691701045093, 'quot_std': 1.0232736113516863}",163.09645043524375,"{'RMSD': 158.74829868375, 'bias': 0.00016062177996900573, 'rcor': 0.8412989150894253, 'quot_std': 1.1833943856531508}",136.6423511043294,"{'RMSD': 134.8989406786478, 'bias': 0.00015890542488250503, 'rcor': 0.8501677643037948, 'quot_std': 1.0452307220498682}"
RGI60-11.00190,RGI60-11.00190,299.36868337867236,"{'RMSD': 142.49255593816994, 'bias': 1.949988325122831e-05, 'rcor': 0.8380572804686065, 'quot_std': 1.5356684795722697}",250.1881711387548,"{'RMSD': 126.26995142725868, 'bias': 1.030008104407898e-05, 'rcor': 0.824533449820252, 'quot_std': 1.3751307795430263}",242.51323934406068,"{'RMSD': 111.38998056670067, 'bias': -0.07143534370152338, 'rcor': 0.8245867261623211, 'quot_std': 1.2388682106775266}",207.3658474435201,"{'RMSD': 102.66876138554886, 'bias': -0.06281623747656795, 'rcor': 0.819437411587257, 'quot_std': 1.1304717672902085}",246.42624735065752,"{'RMSD': 107.53711479010246, 'bias': -5.398336327289144e-05, 'rcor': 0.8300251723859441, 'quot_std': 1.2148354272938326}",195.48475303404604,"{'RMSD': 88.95531084845334, 'bias': 4.246323715051403e-05, 'rcor': 0.855648259566388, 'quot_std': 1.084467662094714}"
RGI60-11.00251,RGI60-11.00251,197.2035212968961,"{'RMSD': 103.23900267773521, 'bias': -2.83546569335158e-07, 'rcor': 0.7671201528772437, 'quot_std': 1.127741160286352}",167.26232977906372,"{'RMSD': 105.87585886536434, 'bias': 2.144979544027592e-05, 'rcor': 0.7177396808706613, 'quot_std': 1.0196837239744578}",169.1155660425577,"{'RMSD': 100.94376725165642, 'bias': -0.048113783225062434, 'rcor': 0.745974725282352, 'quot_std': 1.0279148680721208}",145.4647084788596,"{'RMSD': 103.81490871765197, 'bias': -0.04237456068199208, 'rcor': 0.7094351100131653, 'quot_std': 0.9551146691671865}",172.03273919614648,"{'RMSD': 90.79187104793805, 'bias': -0.0001243462924094274, 'rcor': 0.8164771324513307, 'quot_std': 1.107847670484323}",136.79231541592975,"{'RMSD': 94.54315872138426, 'bias': 1.1330210213600367e-05, 'rcor': 0.7755574565578142, 'quot_std': 1.0212624816148994}"
RGI60-11.00289,RGI60-11.00289,132.92777819336462,"{'RMSD': 89.74738750384843, 'bias': -3.255291755976941e-05, 'rcor': 0.7282142042974221, 'quot_std': 0.8818966183218687}",119.14781374464745,"{'RMSD': 92.41114591989779, 'bias': 3.568693625766173e-05, 'rcor': 0.7058155578336425, 'quot_std': 0.8536137821054202}",118.78703731879646,"{'RMSD': 93.02858073367725, 'bias': -0.03520345544779957, 'rcor': 0.6973107452648708, 'quot_std': 0.8298191276816994}",107.22483668418913,"{'RMSD': 95.35062359978487, 'bias': -0.03255817544061301, 'rcor': 0.6773190813722888, 'quot_std': 0.8087285862487223}",121.12741189131522,"{'RMSD': 87.04929056678797, 'bias': 2.672028676897753e-05, 'rcor': 0.7433368392522991, 'quot_std': 0.8740972263225194}",104.03970575789008,"{'RMSD': 88.33339651099858, 'bias': 5.290216643061285e-05, 'rcor': 0.7249686629469346, 'quot_std': 0.8017543875632184}"
RGI60-11.00300,RGI60-11.00300,155.22940774969098,"{'RMSD': 80.9781719420101, 'bias': 0.00014144753811251576, 'rcor': 0.7142907460625354, 'quot_std': 1.301365161271472}",138.108315554875,"{'RMSD': 80.2683704515649, 'bias': -0.0001392503286297142, 'rcor': 0.6967101783989613, 'quot_std': 1.25077729869839}",137.7903274794274,"{'RMSD': 79.48786623851804, 'bias': -0.04050520717044037, 'rcor': 0.688396388272049, 'quot_std': 1.2181029698832808}",123.677389561099,"{'RMSD': 79.80257622712843, 'bias': -0.03740398578872828, 'rcor': 0.6692879259213339, 'quot_std': 1.1815236478505795}",140.27325663833747,"{'RMSD': 82.06686635200728, 'bias': 7.470457444469503e-05, 'rcor': 0.6940966211001018, 'quot_std': 1.2771858932634408}",119.97508465567266,"{'RMSD': 78.18424654379133, 'bias': 7.900831622009719e-05, 'rcor': 0.6796468730547941, 'quot_std': 1.1733101797713916}"
